,0
ALV.DE,0.042000582361843904
DTE.DE,0.025715975831946687
BN.PA,0.02065211107676749
IBE.MC,0.02974320251533606
ENI.MI,0.03751083193260453
BAS.DE,0.04072276933416844
G.MI,0.03961636634042102
BAYN.DE,0.03422588862524438
ASML.AS,0.032277658299529756
DG.PA,0.040477804655656556
AIR.PA,0.040247668100411894
ENGI.PA,0.03338574872520384
CA.PA,0.030628268947938193
CS.PA,0.052905771815042336
ABI.BR,0.03052932772644701
EOAN.DE,0.030977113746681148
BMW.DE,0.040666361520972125
BNP.PA,0.05959343045037671
ISP.MI,0.058336855964318333
INGA.AS,0.06475761569120372
ENEL.MI,0.03546317427029729
BBVA.MC,0.053680197261107954
DBK.DE,0.0600138018399834
GLE.PA,0.06587147296649709
