metric,value
annualized_return,0.08654368269547463
annualized_volatility,0.18560332735126853
sharpe,0.4336696490099477
sortino,0.4858725986398694
VaR_95,-0.017549386128139017
CVaR_95,-0.029170522476271058
max_drawdown,-0.41952044250689957
tracking_error,0.15992668072010086
beta,0.6963632071361676
alpha,0.0001608244853822909
effective_diversification,21.99344468933803
portfolio_return,7.00961299363297
benchmark_return,0.0002579691301122526
active_return,7.009355024502858
