,0
ALV.DE,0.041666666666666664
DTE.DE,0.041666666666666664
BN.PA,0.041666666666666664
IBE.MC,0.041666666666666664
ENI.MI,0.041666666666666664
BAS.DE,0.041666666666666664
G.MI,0.041666666666666664
BAYN.DE,0.041666666666666664
ASML.AS,0.041666666666666664
DG.PA,0.041666666666666664
AIR.PA,0.041666666666666664
ENGI.PA,0.041666666666666664
CA.PA,0.041666666666666664
CS.PA,0.041666666666666664
ABI.BR,0.041666666666666664
EOAN.DE,0.041666666666666664
BMW.DE,0.041666666666666664
BNP.PA,0.041666666666666664
ISP.MI,0.041666666666666664
INGA.AS,0.041666666666666664
ENEL.MI,0.041666666666666664
BBVA.MC,0.041666666666666664
DBK.DE,0.041666666666666664
GLE.PA,0.041666666666666664
